panstwo,rok,udzial_ev_procent,udzial_ev_dopasowany_procent
Grecja,2024,11.59,1.2583325675376222
Grecja,2025,14.24,10.236595209882402
Hiszpania,2009,0.0,0.09434647834815671
Hiszpania,2010,0.01,0.08339761705780598
Hiszpania,2011,0.07,0.0792652282355277
Hiszpania,2012,0.08,0.0747700770143677
Hiszpania,2013,0.14,0.07528194389756523
Hiszpania,2014,0.15,0.09243036111545158
Hiszpania,2015,0.21,0.15248110527162723
Hiszpania,2016,0.32,0.19175779988019867
Hiszpania,2017,0.5800000000000001,0.23760131727416275
Hiszpania,2018,0.86,0.27510847958683077
Hiszpania,2019,1.37,0.3262585978901947
Hiszpania,2020,4.93,0.9180822401798819
Hiszpania,2021,7.83,1.8544299754668796
Hiszpania,2022,9.75,4.035451307628883
Hiszpania,2023,12.33,6.176244235706535
Hiszpania,2024,11.54,9.402377331158775
Hiszpania,2025,20.15,54.427848748470495
Holandia,2009,0.01,0.5916357421640761
Holandia,2010,0.02,0.5265330246062165
Holandia,2011,0.15,0.5824487527159558
Holandia,2012,1.02,0.584100550899813
Holandia,2013,5.47,0.7018255044160981
Holandia,2014,3.89,0.6623132352536731
Holandia,2015,9.57,0.9525656680809463
Holandia,2016,5.96,0.9122617933198728
Holandia,2017,2.2,1.2776000561877732
Holandia,2018,6.06,1.8648376028969822
Holandia,2019,14.97,2.465744455362605
Holandia,2020,24.88,9.323741299712628
Holandia,2021,29.48,18.543799584488575
Holandia,2022,34.29,35.80607356617888
Holandia,2023,43.13,68.47227798281374
Holandia,2024,48.16,76.35669357526066
Holandia,2025,59.11,97.2607422975569
Irlandia,2009,0.0,0.0008948066710845841
Irlandia,2010,0.02,0.0009436310838946361
Irlandia,2011,0.05,0.0011939040020874194
Irlandia,2012,0.17,0.0014098669182454671
Irlandia,2013,0.23,0.0018385387047039157
Irlandia,2014,0.3,0.0037813335848738664
Irlandia,2015,0.44,0.12261232515749017
Irlandia,2016,0.45,0.10609693756580502
Irlandia,2017,0.7,0.29091698242680925
Irlandia,2018,1.52,0.6521896830116793
Irlandia,2019,3.82,0.9439029742898034
Irlandia,2020,7.24,10.879676651971579
Irlandia,2021,15.88,69.2678271557691
Irlandia,2022,22.3,96.47098638984201
Irlandia,2023,27.26,94.86151613929277
Irlandia,2024,24.73,98.09893357678851
Irlandia,2025,34.03,99.93855988181934
Litwa,2009,0.0,0.0017207657956373652
Litwa,2010,0.0,0.0025339273441140195
Litwa,2011,0.0,0.0037516623660712777
Litwa,2012,0.0,0.004935751673562241
Litwa,2016,0.05,0.013127930716938453
Litwa,2017,0.04,0.01755773219792918
Litwa,2018,0.11,0.02465957509363413
Litwa,2019,0.13,0.04124500770182556
Litwa,2020,1.2799999999999998,0.3040539889360346
Litwa,2021,3.83,0.543892273890433
Litwa,2022,8.06,0.9144814432170018
Litwa,2023,10.26,2.0609999145367026
Litwa,2024,12.25,2.9948924602736144
Litwa,2025,17.950000000000003,19.31183219424435
Luksemburg,2009,0.0,0.012195220160997602
Luksemburg,2010,0.0,0.018161495660125582
Luksemburg,2011,0.06,0.024566954801989747
Luksemburg,2012,0.18,0.02978526962118479
Luksemburg,2015,0.18,0.17200869440197186
Luksemburg,2016,0.6000000000000001,0.22307794590594146
Luksemburg,2017,1.87,0.21694080776406152
Luksemburg,2018,1.94,0.21804167776978753
Luksemburg,2019,3.5700000000000003,0.2250489265288696
Luksemburg,2020,11.86,1.5177680298085807
Luksemburg,2021,21.22,9.751322006142393
Luksemburg,2022,25.21,15.998361513306019
Luksemburg,2023,33.43,38.91568929736837
Luksemburg,2024,35.86,55.01608349382266
Luksemburg,2025,34.86,94.80428882928842
Malta,2017,0.66,0.410645475788111
