DATAFLOW,LAST UPDATE,freq,na_item,ppp_cat,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Switzerland,2007,136,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Switzerland,2008,136,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Switzerland,2009,138,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Switzerland,2010,132,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Switzerland,2011,132,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Switzerland,2012,133,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Switzerland,2013,136,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Switzerland,2014,136,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Switzerland,2015,135,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Switzerland,2016,131,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Switzerland,2017,126,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Switzerland,2018,123,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Switzerland,2019,121,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Switzerland,2020,121,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Switzerland,2021,118,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Switzerland,2022,117,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Switzerland,2023,116,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Switzerland,2024,115,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Candidate and potential candidate countries except Türkiye and Kosovo* (under United Nations Security Council Resolution 1244/99),2005,35,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Candidate and potential candidate countries except Türkiye and Kosovo* (under United Nations Security Council Resolution 1244/99),2006,38,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Candidate and potential candidate countries except Türkiye and Kosovo* (under United Nations Security Council Resolution 1244/99),2007,32,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Candidate and potential candidate countries except Türkiye and Kosovo* (under United Nations Security Council Resolution 1244/99),2008,42,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Candidate and potential candidate countries except Türkiye and Kosovo* (under United Nations Security Council Resolution 1244/99),2009,42,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Candidate and potential candidate countries except Türkiye and Kosovo* (under United Nations Security Council Resolution 1244/99),2010,43,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Candidate and potential candidate countries except Türkiye and Kosovo* (under United Nations Security Council Resolution 1244/99),2011,44,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Candidate and potential candidate countries except Türkiye and Kosovo* (under United Nations Security Council Resolution 1244/99),2012,44,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Candidate and potential candidate countries except Türkiye and Kosovo* (under United Nations Security Council Resolution 1244/99),2013,44,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Candidate and potential candidate countries except Türkiye and Kosovo* (under United Nations Security Council Resolution 1244/99),2014,45,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Candidate and potential candidate countries except Türkiye and Kosovo* (under United Nations Security Council Resolution 1244/99),2015,45,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Candidate and potential candidate countries except Türkiye and Kosovo* (under United Nations Security Council Resolution 1244/99),2016,45,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Candidate and potential candidate countries except Türkiye and Kosovo* (under United Nations Security Council Resolution 1244/99),2017,44,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Candidate and potential candidate countries except Türkiye and Kosovo* (under United Nations Security Council Resolution 1244/99),2018,44,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Candidate and potential candidate countries except Türkiye and Kosovo* (under United Nations Security Council Resolution 1244/99),2019,45,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Candidate and potential candidate countries except Türkiye and Kosovo* (under United Nations Security Council Resolution 1244/99),2020,46,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Candidate and potential candidate countries except Türkiye and Kosovo* (under United Nations Security Council Resolution 1244/99),2021,46,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Candidate and potential candidate countries except Türkiye and Kosovo* (under United Nations Security Council Resolution 1244/99),2022,48,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Candidate and potential candidate countries except Türkiye and Kosovo* (under United Nations Security Council Resolution 1244/99),2023,49,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Candidate and potential candidate countries except Türkiye and Kosovo* (under United Nations Security Council Resolution 1244/99),2024,50,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Cyprus,2005,100,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Cyprus,2006,100,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Cyprus,2007,109,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Cyprus,2008,115,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Cyprus,2009,106,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Cyprus,2010,104,,
