DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,Denmark,2017,51060,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,Denmark,2018,51950,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,Denmark,2019,53040,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,Denmark,2020,53540,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,Denmark,2021,58640,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,Denmark,2022,64430,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,Denmark,2023,62910,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,Denmark,2024,65650,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2015,31400,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2016,32170,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2017,33320,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2018,34350,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2019,35410,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2020,33840,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2021,36750,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2022,39850,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2023,41950,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2024,43400,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,Euro area - 12 countries (2001-2006),2015,32150,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,Euro area - 12 countries (2001-2006),2016,32920,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,Euro area - 12 countries (2001-2006),2017,34080,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,Euro area - 12 countries (2001-2006),2018,35100,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,Euro area - 12 countries (2001-2006),2019,36150,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,Euro area - 12 countries (2001-2006),2020,34530,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,Euro area - 12 countries (2001-2006),2021,37460,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,Euro area - 12 countries (2001-2006),2022,40610,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,Euro area - 12 countries (2001-2006),2023,42950,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,Euro area - 12 countries (2001-2006),2024,44400,,
