panstwo,rok,liczba_bev_we_flocie,liczba_phev_we_flocie,procent_bev_we_flocie,procent_phev_we_flocie,liczba_bev_w_nowych_rejestracjach,liczba_phev_w_nowych_rejestracjach,procent_bev_w_nowych_rejestracjach,procent_phev_w_nowych_rejestracjach,liczba_ev_we_flocie,procent_ev_we_flocie,liczba_ev_w_nowych_rejestracjach,procent_ev_w_nowych_rejestracjach,pkb_per_capita_pps,cena_energii_eur_kwh,cena_benzyny_eur_litr,cena_diesla_eur_litr,koszt_100_km_ev,koszt_100_km_benzyna,koszt_100_km_diesel,relacja_kosztu_ev_do_benzyny,relacja_kosztu_ev_do_diesla,polityka_ue_etap,po_2035,punkty_ladowania_razem,punkty_ac,punkty_dc,ludnosc,punkty_ladowania_na_100_tys_mieszkancow
Czechy,2025,45549.0,35513.0,0.66,0.52,13803.0,11032.0,5.55,4.44,81062.0,1.1800000000000002,24835.0,9.99,38557.0,0.3198,1.4065505531798166,1.3736179792881618,5.756399999999999,9.845853872258717,8.24170787572897,0.5846521870712504,0.6984474682671099,2,0,7574.0,5064.0,2510.0,10909500,69.42572986846326
Dania,2020,31886.0,29025.0,1.17,1.07,14185.0,18337.0,7.16,9.25,60911.0,2.24,32522.0,16.41,40054.4,0.2825999999999999,1.4491034,1.2153067999999998,5.086799999999999,10.1437238,7.291840799999999,0.5014726445923142,0.6976016261901933,1,0,3547.0,3035.0,512.0,5822763,60.9160977357313
Dania,2021,66610.0,77943.0,2.39,2.8,24832.0,40455.0,13.4,21.82,144553.0,5.19,65287.0,35.22,44240.3,0.3174,1.6712206122448978,1.421284693877551,5.7132000000000005,11.698544285714284,8.527708163265306,0.4883684551228047,0.6699572605698065,1,0,5843.0,5386.0,457.0,5840045,100.05059892517951
Dania,2022,112674.0,105030.0,4.03,3.76,30718.0,26425.0,20.71,17.81,217704.0,7.79,57143.0,38.52,48465.5,0.5215,2.088567843137255,1.9640845098039212,9.387,14.619974901960784,11.784507058823529,0.6420667657056678,0.7965543194249758,1,0,10818.0,9899.0,919.0,5873420,184.1857044107181
Dania,2023,200110.0,123066.0,7.0,4.3,62618.0,16665.0,36.24,9.64,323176.0,11.3,79283.0,45.88,48240.3,0.3682499999999999,1.974735192307692,1.7386709615384617,6.628499999999999,13.823146346153845,10.43202576923077,0.4795217987288628,0.6353991206147842,1,0,23071.0,20896.0,2175.0,5932654,388.88160341054777
Dania,2024,344439.0,127567.0,12.02,4.45,89568.0,7092.0,51.72,4.09,472006.0,16.47,96660.0,55.81,51785.4,0.37355,1.997481172666553,1.7041064172377702,6.7239,13.982368208665871,10.224638503426622,0.4808842035666547,0.6576173815579489,1,0,35869.0,30432.0,5437.0,5961249,601.7027639677524
Dania,2025,540981.0,127850.0,18.56,4.39,126532.0,4690.0,68.53,2.54,668831.0,22.95,131222.0,71.07000000000001,53940.8,0.33985,1.9640022827933408,1.7589007919139308,6.1173,13.748015979553388,10.553404751483583,0.4449587496187012,0.5796517942837394,2,0,50338.0,41845.0,8493.0,5992734,839.9838871540102
Estonia,2020,1769.0,256.0,0.22,0.03,360.0,68.0,1.92,0.36,2025.0,0.25,428.0,2.28,25994.6,0.12635,1.25316,1.0956,2.2743,8.772120000000001,6.573599999999999,0.2592645791439241,0.3459748083242059,1,0,56.0,33.0,23.0,1328889,4.214046470397452
Estonia,2021,2260.0,420.0,0.27,0.05,503.0,164.0,2.25,0.73,2680.0,0.32,667.0,2.98,28242.8,0.16315,1.426489795918367,1.2383061224489795,2.9367,9.98542857142857,7.429836734693877,0.2940985435920913,0.3952576758903703,1,0,74.0,49.0,26.0,1330068,5.563625318404774
Estonia,2022,2989.0,644.0,0.35,0.08,712.0,424.0,3.3,1.97,3633.0,0.43,1136.0,5.27,30146.6,0.2353,1.851137254901961,1.7903921568627452,4.2354,12.957960784313729,10.74235294117647,0.3268569854854915,0.3942711641660278,1,0,147.0,92.0,56.0,1331796,11.037726498652948
Estonia,2023,4423.0,1173.0,0.5,0.13,1458.0,537.0,6.39,2.35,5596.0,0.63,1995.0,8.74,30454.9,0.2249499999999999,1.7165961538461538,1.6080192307692307,4.049099999999999,12.016173076923076,9.648115384615384,0.3369708453830654,0.4196778167119126,1,0,594.0,339.0,255.0,1365884,43.488319652327725
Estonia,2024,5743.0,2099.0,0.86,0.31,1320.0,1268.0,5.2,4.99,7842.0,1.17,2588.0,10.19,31583.4,0.2257,1.6737735849056603,1.5389245283018869,4.0626,11.716415094339622,9.23354716981132,0.3467442871636311,0.4399825901450412,1,0,1051.0,575.0,476.0,1374687,76.45376729393672
Estonia,2025,10084.0,8021.0,1.49,1.19,868.0,1403.0,6.65,10.75,18105.0,2.68,2271.0,17.4,33279.1,0.23005,1.5590192307692308,1.4396346153846156,4.1409,10.913134615384616,8.637807692307693,0.3794418511215314,0.4793924740519095,2,0,1976.0,915.0,1061.0,1369995,144.2341030441717
Finlandia,2020,9959.0,45620.0,0.28,1.26,4244.0,13231.0,4.4,13.73,55579.0,1.54,17475.0,18.130000000000003,34039.9,0.17565,1.41178,1.2552,3.1617,9.88246,7.5312,0.3199304626580831,0.4198135755258126,1,0,3642.0,3365.0,277.0,5525292,65.91506838009647
Finlandia,2021,23497.0,76990.0,0.65,2.11,10151.0,20163.0,10.31,20.48,100487.0,2.76,30314.0,30.79,36222.4,0.18035,1.6736122448979591,1.5153571428571428,3.2463,11.715285714285717,9.092142857142855,0.2770995158949846,0.357044543954749,1,0,4597.0,4070.0,527.0,5533793,83.0714123206271
Finlandia,2022,44889.0,104038.0,1.2,2.78,14529.0,16174.0,17.79,19.8,148927.0,3.98,30703.0,37.59,38350.4,0.2203999999999999,2.108627450980392,2.1218039215686275,3.9672,14.760392156862745,12.730823529411763,0.2687733467945482,0.3116216316120208,1,0,5525.0,4511.0,1014.0,5548241,99.5811104816824
Finlandia,2023,83762.0,135105.0,2.22,3.58,29671.0,18085.0,33.91,20.67,218867.0,5.800000000000001,47756.0,54.58,39690.3,0.248,1.9292307692307693,1.937942307692308,4.464,13.504615384615384,11.627653846153846,0.3305536568694464,0.3839123574767051,1,0,11247.0,8508.0,2739.0,5563970,202.1398389998508
Finlandia,2024,118297.0,166848.0,3.13,4.41,21868.0,14863.0,29.53,20.07,285145.0,7.54,36731.0,49.6,40871.6,0.2404,1.8016415094339624,1.7658113207547168,4.3272,12.611490566037736,10.594867924528302,0.343115667203763,0.4084241569431979,1,0,16726.0,12363.0,4363.0,5603851,298.47331772382955
Finlandia,2025,164705.0,187039.0,4.31,4.9,26721.0,14513.0,37.18,20.19,351744.0,9.21,41234.0,57.370000000000005,42070.4,0.2264999999999999,1.7066335530411618,1.654171026889777,4.077,11.946434871288131,9.92502616133866,0.3412733626329471,0.4107797736474787,2,0,19806.0,14452.0,5354.0,5635971,351.4212546515942
Francja,2020,245106.0,132309.0,0.64,0.34,110909.0,74587.0,6.72,4.52,377415.0,0.98,185496.0,11.239999999999998,31555.5,0.19255,1.356537,1.2604958,3.4659,9.495759,7.562974799999999,0.3649945201852742,0.4582720545360009,1,0,,,,67473651,
Francja,2021,470452.0,273600.0,1.21,0.71,162105.0,141439.0,9.77,8.53,744052.0,1.92,303544.0,18.3,33443.0,0.1984,1.5529438775510205,1.4310875510204082,3.5712,10.870607142857144,8.58652530612245,0.3285189091159975,0.415907468117939,1,0,54653.0,51022.0,3631.0,67728568,80.69416143568841
Francja,2022,690093.0,411593.0,1.76,1.05,202868.0,126166.0,13.27,8.25,1101686.0,2.81,329034.0,21.52,35145.8,0.2148,1.808916862745098,1.8445715686274509,3.8664,12.662418039215686,11.067429411764705,0.3053445232992391,0.349349415853514,1,0,83317.0,75097.0,8220.0,68091703,122.35998855837104
Francja,2023,916082.0,574602.0,2.32,1.45,296902.0,161999.0,16.73,9.13,1490684.0,3.77,458901.0,25.86,38055.1,0.24455,1.880760576923077,1.7951121153846157,4.4019,13.16532403846154,10.770672692307691,0.334355613818556,0.4086931360511765,1,0,119255.0,100767.0,18488.0,68436003,174.25769298654103
Francja,2024,1218319.0,721450.0,3.08,1.83,290748.0,146392.0,16.92,8.52,1939769.0,4.91,437140.0,25.44,39294.2,0.28865,1.8208333962264152,1.6954111320754717,5.1957,12.745833773584906,10.17246679245283,0.4076390836641715,0.5107610676944948,1,0,155931.0,125955.0,29976.0,68669303,227.07526243567668
Francja,2025,1543440.0,825313.0,3.88,2.08,327224.0,108619.0,20.05,6.65,2368753.0,5.96,435843.0,26.700000000000003,40716.0,0.2616,1.7259417999230768,1.6185617665384613,4.7088,12.081592599461535,9.711370599230769,0.3897499407660763,0.4848749156347695,2,0,186717.0,146842.0,39875.0,68882600,271.06555211330584
Grecja,2020,1104.0,2031.0,0.02,0.04,678.0,1461.0,0.84,1.81,3135.0,0.06,2139.0,2.65,18866.4,0.16575,1.44518,1.1873399999999998,2.9835000000000003,10.11626,7.124039999999999,0.2949212455986699,0.4187932689878216,1,0,291.0,286.0,6.0,10612591,2.742025957657277
Grecja,2021,3280.0,6823.0,0.06,0.12,2120.0,4811.0,2.1,4.76,10103.0,0.18,6931.0,6.859999999999999,21245.7,0.1827,1.646204081632653,1.372938775510204,3.2886,11.523428571428571,8.237632653061224,0.28538381434097,0.3992166364420133,1,0,610.0,597.0,13.0,10555344,5.779063193013889
Grecja,2022,6306.0,12269.0,0.11,0.22,2644.0,5322.0,2.51,5.05,18575.0,0.33,7966.0,7.56,24026.4,0.2269499999999999,2.051176470588235,1.869,4.0851,14.358235294117645,11.214,0.2845126797492728,0.3642857142857142,1,0,985.0,947.0,39.0,10461627,9.415361492050902
Grecja,2023,12315.0,20643.0,0.21,0.36,6050.0,8754.0,4.5,6.51,32958.0,0.57,14804.0,11.01,26263.1,0.2318,1.9020192307692307,1.6988653846153845,4.1724,13.314134615384615,10.193192307692309,0.3133812388511341,0.4093320202397528,1,0,3166.0,2950.0,216.0,10401868,30.43684076744677
Grecja,2024,17987.0,27290.0,0.3,0.45,8707.0,8344.0,5.92,5.67,45277.0,0.75,17051.0,11.59,27373.2,0.2264499999999999,1.8548490566037736,1.6276037735849056,4.076099999999999,12.983943396226415,9.765622641509434,0.3139339009429643,0.4173927408042845,1,0,7049.0,6167.0,882.0,10375764,67.9371658800258
Grecja,2025,30789.0,38323.0,0.5,0.62,8863.0,11670.0,6.15,8.09,69112.0,1.12,20533.0,14.24,28469.9,0.2343,1.7605384615384614,1.55,4.2174000000000005,12.32376923076923,9.3,0.3422167293972249,0.4534838709677419,2,0,8757.0,7195.0,1562.0,10372335,84.42650570001837
