panstwo,rok,cena_energii_eur_kwh,cena_benzyny_eur_litr,cena_diesla_eur_litr,koszt_100_km_ev,koszt_100_km_benzyna,koszt_100_km_diesel,relacja_kosztu_ev_do_benzyny,relacja_kosztu_ev_do_diesla
Cypr,2008,0.191,1.0349697959183672,1.092525306122449,3.438,7.244788571428571,6.5551518367346935,0.47454801007699726,0.5244729772289402
Cypr,2009,0.16,0.8816010000000001,0.8323366000000001,2.88,6.171207000000001,4.994019600000001,0.46668342189785555,0.5766897670966289
Cypr,2010,0.19395,1.0388297959183674,1.004364693877551,3.4911000000000003,7.271808571428572,6.0261881632653065,0.48008689526244797,0.5793214392609238
Cypr,2011,0.22315,1.2130071428571427,1.2517236734693877,4.0167,8.49105,7.510342040816326,0.47305103609094284,0.5348225124994987
Cypr,2012,0.2845,1.3179485714285712,1.3507010204081635,5.1209999999999996,9.225639999999999,8.104206122448982,0.5550834413655855,0.6318940958096587
Cypr,2013,0.26205,1.3767207999999997,1.4070682,4.7169,9.637045599999999,8.4424092,0.4894549840046415,0.5587149222759777
Cypr,2014,0.23235,1.4058653061224489,1.4230702040816328,4.1823,9.841057142857142,8.538421224489797,0.4249848303173004,0.48982123158838514
Cypr,2015,0.18975,1.2285032653061225,1.2261532653061225,3.4155,8.599522857142858,7.356919591836735,0.3971731986459049,0.46425680712751727
Cypr,2016,0.15739999999999998,1.1451035999999999,1.1253324,2.8331999999999997,8.015725199999999,6.7519944,0.353455230725724,0.41960935275657213
Cypr,2017,0.18445,1.2081784,1.2019648,3.3201,8.4572488,7.211788800000001,0.3925744741008447,0.460371218857657
Cypr,2018,0.20379999999999998,1.2799669999999999,1.3073678,3.6683999999999997,8.959769,7.8442068,0.4094301984794474,0.4676572269869274
Cypr,2019,0.22194999999999998,1.1830710204081634,1.2329961224489796,3.9951,8.281497142857143,7.397976734693877,0.4824127728457656,0.5400260291796274
Cypr,2020,0.19155,1.0802954,1.1144328000000001,3.4478999999999997,7.5620678,6.6865968,0.4559467187004062,0.5156434735230334
Cypr,2021,0.214,1.24614693877551,1.2824634693877552,3.852,8.72302857142857,7.694780816326531,0.44158974930070166,0.5005990543391378
Cypr,2022,0.2934,1.5368096078431372,1.7430154901960784,5.2812,10.75766725490196,10.45809294117647,0.49092427520413484,0.5049869062844548
Cypr,2023,0.35955000000000004,1.4478507692307694,1.5468421153846152,6.471900000000001,10.134955384615386,9.281052692307691,0.6385721253222472,0.6973239151377765
Cypr,2024,0.3246,1.4397558490566036,1.5061507547169812,5.8428,10.078290943396226,9.036904528301887,0.5797411518297634,0.6465488245119165
Cypr,2025,0.2853,1.366345769230769,1.4554965384615386,5.1354,9.564420384615383,8.732979230769232,0.5369274659090082,0.5880467437625699
Czechy,2008,0.14145000000000002,1.2316148979591834,1.28969306122449,2.5461000000000005,8.621304285714285,7.738158367346939,0.2953265440611987,0.3290317772176769
Czechy,2009,0.14939999999999998,1.0322017999999997,0.9898316,2.6891999999999996,7.2254125999999985,5.9389896,0.3721863579112423,0.45280429519526344
Czechy,2010,0.15225,1.2546514285714285,1.208533673469388,2.7405,8.78256,7.251202040816327,0.31203885882931626,0.3779373384680203
Czechy,2011,0.1643,1.4070151020408164,1.3922089795918369,2.9574,9.849105714285715,8.35325387755102,0.30027091654731813,0.35404167565741945
Czechy,2012,0.1666,1.462898163265306,1.4527438775510204,2.9988,10.240287142857142,8.716463265306123,0.29284335079331625,0.34403862079428865
Czechy,2013,0.1663,1.3955702040816327,1.3927440816326533,2.9934000000000003,9.768991428571429,8.35646448979592,0.3064185307037106,0.358213692364186
Czechy,2014,0.13835,1.317671224489796,1.3224983673469388,2.4903,9.22369857142857,7.9349902040816325,0.2699893085962263,0.3138378165506782
Czechy,2015,0.13965,1.1541879591836735,1.148105918367347,2.5137,8.079315714285714,6.888635510204082,0.31112783419953705,0.36490535698636917
